Model,Accuracy,Precision,Recall,F1,AUC
FUSION,0.748221906116643,0.8,0.4393939393939394,0.5672371638141809,0.7290307689652791
GNN,0.5554765291607396,0.3905191873589165,0.32765151515151514,0.35633367662203913,0.5249091858217713
